Modelo,Cota,Num Paises,Acierto exacto (%),RMSE,MSE,MAE,R2
LogisticRegression(max_iter=2000),0.0,1,2.0,53637.54705688917,2876986454.28,42511.28,0.0963291526057014
LinearRegression(),0.0,1,0.0,38205.67738180859,1459673784.2028406,28249.205788313695,0.5415116941105185
Ridge(alpha=0.5),0.0,1,0.0,37743.09917553754,1424541535.3744628,28143.807607608378,0.5525468482810836
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,1,0.0,38007.56844236041,1444575258.900711,28016.65544258426,0.5462541902504923
Lasso(alpha=0.1),0.0,1,0.0,38204.82343161282,1459608533.4407122,28248.712817453397,0.5415321895881451
"LassoLars(alpha=0.1, normalize=False)",0.0,1,0.0,38204.84082849633,1459609862.7307403,28248.720605254894,0.5415317720538031
BayesianRidge(),0.0,1,0.0,37817.1142229313,1430134128.1502326,27934.56037381749,0.5507901966134011
LogisticRegression(max_iter=2000),0.0,2,3.0,58745.40119243378,3451022161.26,46203.86,-0.08397733892799697
LinearRegression(),0.0,2,0.0,38775.40409567629,1503531962.7829895,28961.565799629843,0.5277356968882401
Ridge(alpha=0.5),0.0,2,0.0,38333.07651618329,1469424755.195563,28822.257570346635,0.5384488822551474
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,2,0.0,38430.3721353104,1476893502.458442,28432.24920871347,0.5361029243317171
Lasso(alpha=0.1),0.0,2,0.0,38774.572393118324,1503467464.2691739,28961.06532377915,0.5277559560822134
"LassoLars(alpha=0.1, normalize=False)",0.0,2,0.0,38774.6270408992,1503471702.1608312,28961.0992591111,0.5277546249465941
BayesianRidge(),0.0,2,0.0,47953.29379917728,2299518386.1902137,39269.293346696155,0.27771375998107495
LogisticRegression(max_iter=2000),0.0,3,3.0,56270.014167849644,3166314494.45,43865.27,0.0054502696528831995
LinearRegression(),0.0,3,0.0,38291.39076607356,1466230606.8001432,28876.454865116553,0.5394521747047514
Ridge(alpha=0.5),0.0,3,0.0,37814.47572384455,1429934574.269229,28796.314690358417,0.5508528771395743
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,3,0.0,37884.152517520284,1435209011.9707384,28421.84788406058,0.5491961590204602
Lasso(alpha=0.1),0.0,3,0.0,38290.56530559509,1466167391.4220421,28876.0747956584,0.5394720308616032
"LassoLars(alpha=0.1, normalize=False)",0.0,3,0.0,38290.5552465433,1466166621.0885847,28876.061390948296,0.5394722728258599
BayesianRidge(),0.0,3,0.0,48333.57004196673,2336133993.0017037,38503.86190662887,0.2662126782203419
LogisticRegression(max_iter=2000),0.0,4,2.0,52512.22048875861,2757533300.66,42248.26,0.1338497785353503
LinearRegression(),0.0,4,0.0,39126.5229069876,1530884794.7910254,30038.486245113552,0.5191440829643846
Ridge(alpha=0.5),0.0,4,0.0,38660.82412911001,1494659322.3419747,29982.84110564486,0.530522622246901
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,4,0.0,38807.379151185676,1506012676.5838807,29718.23341357685,0.5269564965763099
Lasso(alpha=0.1),0.0,4,0.0,39125.80003275118,1530828228.2028327,30038.3222217955,0.5191618507145979
"LassoLars(alpha=0.1, normalize=False)",0.0,4,0.0,39125.745594641136,1530823968.3365803,30038.283626692766,0.5191631887525091
BayesianRidge(),0.0,4,0.0,49629.00902552653,2463038536.855794,39733.09618186019,0.22635154626672882
LogisticRegression(max_iter=2000),0.0,5,2.0,55963.40443057409,3131902635.46,43879.58,0.016259147020951548
LinearRegression(),0.0,5,0.0,38882.68626277405,1511863291.0093176,30034.840627221238,0.525118799465242
Ridge(alpha=0.5),0.0,5,0.0,38436.110560178,1477334594.994227,30067.326295152372,0.5359643757247193
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,5,0.0,38762.72159227889,1502548585.240524,30292.71938970454,0.528044578988045
Lasso(alpha=0.1),0.0,5,0.0,38882.04260344254,1511813237.0159206,30034.997805402152,0.5251345215881464
"LassoLars(alpha=0.1, normalize=False)",0.0,5,0.0,38881.94732992378,1511805828.1669672,30034.798262336823,0.5251368487318151
BayesianRidge(),0.0,5,0.0,49621.369249962154,2462280286.2410893,41133.16118781391,0.22658971526280036
LogisticRegression(max_iter=2000),0.0,6,2.0,54934.80786805393,3017833115.5,43428.94,0.05208875602406782
LinearRegression(),0.0,6,0.0,38777.81302128568,1503718782.713793,29875.103386835843,0.5276770161374399
Ridge(alpha=0.5),0.0,6,0.0,38301.76603761439,1467025281.600151,29867.528998480168,0.5392025647530405
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,6,0.0,38460.161521881295,1479184024.2891986,29905.98892326123,0.535383463939161
Lasso(alpha=0.1),0.0,6,0.0,38777.139238533135,1503666527.524586,29875.146114191495,0.5276934296631419
"LassoLars(alpha=0.1, normalize=False)",0.0,6,0.0,38777.080434932606,1503661967.0572333,29874.96355696841,0.527694862120841
BayesianRidge(),0.0,6,0.0,49840.019348041875,2484027528.6131883,41241.36397091687,0.2197588353628802
LogisticRegression(max_iter=2000),0.0,7,3.0,56970.69006980695,3245659527.03,44283.05,-0.019472264383183724
LinearRegression(),0.0,7,0.0,38781.29789125601,1503989066.1303375,29889.109885514994,0.5275921192330064
Ridge(alpha=0.5),0.0,7,0.0,38308.70549846547,1467556916.9681585,29881.336790222143,0.539035576346544
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,7,0.0,38505.5517139266,1482677512.793876,29982.24000979629,0.5342861477829839
Lasso(alpha=0.1),0.0,7,0.0,38780.665473122215,1503940014.5382133,29889.304907128302,0.5276075264983953
"LassoLars(alpha=0.1, normalize=False)",0.0,7,0.0,38780.52439202254,1503929072.1202555,29888.89042938208,0.527610963547636
BayesianRidge(),0.0,7,0.0,49480.34401884087,2448304444.2228413,40723.895903644414,0.2309795729143338
LogisticRegression(max_iter=2000),0.0,8,1.0,51137.049039810656,2614997784.5,40478.46,0.1786206499728823
LinearRegression(),0.0,8,0.0,38871.79903611668,1511016760.3042417,29887.40714617273,0.525384697526202
Ridge(alpha=0.5),0.0,8,0.0,38380.079433375366,1473030497.3122027,29865.16038641092,0.5373163068726037
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,8,0.0,38447.93259504871,1478243520.8334093,29973.271653355812,0.5356788791482268
Lasso(alpha=0.1),0.0,8,0.0,38871.06063523382,1510959354.9080243,29887.377152990568,0.5254027287487569
"LassoLars(alpha=0.1, normalize=False)",0.0,8,0.0,38870.97452314502,1510952660.3789892,29887.143830198922,0.5254048315222049
BayesianRidge(),0.0,8,0.0,50223.89409963394,2522439538.5312448,41933.58584201152,0.20769349751565858
LogisticRegression(max_iter=2000),0.0,9,4.0,53182.34661370256,2828361991.34,41830.0,0.11160225532181378
LinearRegression(),0.0,9,0.0,38071.731252583944,1449456720.568977,29549.984854858056,0.5447209071876811
Ridge(alpha=0.5),0.0,9,0.0,37612.30109415528,1414685193.5973945,29554.433543863717,0.5556427574441736
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,9,0.0,37910.01676746416,1437169371.3094141,29761.48258823934,0.5485804037456508
Lasso(alpha=0.1),0.0,9,0.0,38071.36997236444,1449429211.5726526,29550.2756852216,0.544729547853327
"LassoLars(alpha=0.1, normalize=False)",0.0,9,0.0,38071.20874437411,1449416935.2577078,29550.0036072913,0.5447334038839706
BayesianRidge(),0.0,9,0.0,50103.548896417975,2510365612.0157466,41837.70306922126,0.21148595729224362
LogisticRegression(max_iter=2000),0.0,10,3.0,51218.548972613426,2623339758.86,39727.48,0.17600040856450572
LinearRegression(),0.0,10,0.0,38122.71383613068,1453341310.2315094,29568.398119651247,0.5435007448796878
Ridge(alpha=0.5),0.0,10,0.0,37648.19048247401,1417386246.6046467,29563.906719613,0.5547943478674482
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,10,0.0,37937.90077526865,1439284315.23413,29808.64370294399,0.5479160929471775
Lasso(alpha=0.1),0.0,10,0.0,38122.16089773397,1453299151.5127172,29568.5114292872,0.5435139870710367
"LassoLars(alpha=0.1, normalize=False)",0.0,10,0.0,38122.19994885429,1453302128.940426,29568.327902412635,0.543513051851263
BayesianRidge(),0.0,10,0.0,49967.560445599316,2496757096.884621,41881.820873365825,0.21576043636809294
LogisticRegression(max_iter=2000),0.0,11,3.0,53483.29717968031,2860463077.21,42490.49,0.10151919934243492
LinearRegression(),0.0,11,0.0,38147.67262961532,1455244927.056302,29559.351813567133,0.5429028126139257
Ridge(alpha=0.5),0.0,11,0.0,37649.79335273253,1417506939.5034623,29563.489379486015,0.554756437833501
"RidgeCV(alphas=array([1.e-06, 1.e-05, 1.e-04, 1.e-03, 1.e-02, 1.e-01, 1.e+00, 1.e+01,
       1.e+02, 1.e+03, 1.e+04, 1.e+05, 1.e+06]))",0.0,11,0.0,37975.744368636275,1442157160.3520095,29901.28615323246,0.5470137229070806
Lasso(alpha=0.1),0.0,11,0.0,38147.123568649935,1455203036.5618472,29559.617147577046,0.5429159705551336
"LassoLars(alpha=0.1, normalize=False)",0.0,11,0.0,38146.954101277406,1455190107.2049649,29559.293070577587,0.5429200317083841
BayesianRidge(),0.0,11,0.0,49993.89462981661,2499389500.257206,41885.412973970924,0.21493358986596633
LogisticRegression(max_iter=2000),0.0,12,3.0,53053.722142560364,2814697433.18,41454.78,0.11589433769618362
